"user_id","created_at","id","amount_usd"
124044.0,"2025-09-02 09:56:56.333",3.2648523E7,564.58
123885.0,"2025-09-02 13:24:46.713",3.2651331E7,867.97
124016.0,"2025-09-02 21:01:33.695",3.2663095E7,550.54
124556.0,"2025-09-03 13:11:45.042",3.268141E7,645.6
124556.0,"2025-09-03 13:54:48.825",3.2682268E7,656.6
123990.0,"2025-09-03 18:24:06.548",3.2684551E7,353.96
123874.0,"2025-09-03 18:38:07.062",3.2684334E7,419.78
124556.0,"2025-09-03 18:49:02.669",3.2685502E7,497.61
123990.0,"2025-09-03 18:56:24.429",3.2684963E7,411.59000000000003
123990.0,"2025-09-03 21:12:37.271",3.2692464E7,596.04
124048.0,"2025-09-04 02:31:26.047",3.2697139E7,114.08
124048.0,"2025-09-04 06:20:19.627",3.2700383E7,731.92
123874.0,"2025-09-04 14:34:51.890",3.2710891E7,329.1
124107.0,"2025-09-04 16:23:19.035",3.2712398E7,876.2
124767.0,"2025-09-05 12:17:39.445",3.2737831E7,239.88
123874.0,"2025-09-05 16:41:49.074",3.2741257E7,850.94
124799.0,"2025-09-05 17:56:55.167",3.2742444E7,914.18
124107.0,"2025-09-05 20:12:10.927",3.2749725E7,839.9
124753.0,"2025-09-05 20:16:50.751",3.274951E7,664.26
124732.0,"2025-09-05 21:06:38.854",3.275036E7,446.07
123885.0,"2025-09-06 10:46:02.106",3.27613E7,398.82
124556.0,"2025-09-06 12:20:08.493",3.2762382E7,164.4
124767.0,"2025-09-06 15:06:56.838",3.2763694E7,840.85
123874.0,"2025-09-06 18:39:29.953",3.2764779E7,132.38
123874.0,"2025-09-06 18:39:33.582",3.2764608E7,709.21
124902.0,"2025-09-06 19:25:21.644",3.2765552E7,625.86
124527.0,"2025-09-06 19:52:57.298",3.2770354E7,293.45
124107.0,"2025-09-06 23:28:00.398",3.277341E7,210.57
124107.0,"2025-09-07 03:19:46.040",3.2776037E7,470.29
124939.0,"2025-09-07 09:38:23.186",3.2784211E7,885.28
124939.0,"2025-09-07 10:02:51.801",3.2785061E7,221.2
124506.0,"2025-09-07 10:16:03.980",3.2784863E7,869.48
124939.0,"2025-09-07 10:24:48.198",3.278475E7,721.7
124939.0,"2025-09-07 10:57:03.564",3.2785485E7,862.4
124939.0,"2025-09-07 10:59:47.823",3.2784954E7,676.6
124044.0,"2025-09-07 13:54:51.922",3.278634E7,554.14
124181.0,"2025-09-07 14:08:16.039",3.278628E7,625.76
124181.0,"2025-09-07 14:08:47.690",3.2786497E7,112.5
124242.0,"2025-09-07 14:37:21.166",3.2786757E7,16.45
124902.0,"2025-09-07 17:23:01.422",3.2787539E7,356.51
124939.0,"2025-09-07 17:23:05.910",3.2787811E7,20.21
124362.0,"2025-09-07 18:34:30.962",3.2788495E7,402.5
124044.0,"2025-09-07 18:35:01.998",3.2787789E7,980.55
124107.0,"2025-09-07 18:57:11.523",3.2788429E7,115.32
123885.0,"2025-09-07 19:09:38.565",3.278833E7,850.03
124362.0,"2025-09-07 19:15:46.704",3.2788279E7,319.34
124107.0,"2025-09-07 19:54:09.437",3.2788116E7,234.64
124652.0,"2025-09-07 20:17:08.718",3.2789206E7,735.32
124960.0,"2025-09-07 20:31:39.865",3.2789084E7,346.09
124242.0,"2025-09-07 21:23:58.287",3.278925E7,816.43
124362.0,"2025-09-07 21:31:34.033",3.2789785E7,640.54
124362.0,"2025-09-07 21:57:17.902",3.2789899E7,454.28
124362.0,"2025-09-08 00:25:15.628",3.2791546E7,850.11
123874.0,"2025-09-08 01:23:42.506",3.2793595E7,428.33
123914.0,"2025-09-08 02:16:30.414",3.2794335E7,410.9
123914.0,"2025-09-08 02:16:34.071",3.2794061E7,920.24
123914.0,"2025-09-08 02:16:36.368",3.2793771E7,196.47
124762.0,"2025-09-08 04:00:19.134",3.279518E7,965.22
124939.0,"2025-09-08 05:07:27.293",3.2796484E7,542.81
124362.0,"2025-09-08 05:59:44.155",3.2797408E7,489.72
124362.0,"2025-09-08 06:08:13.541",3.2796801E7,625.34
124107.0,"2025-09-08 06:19:54.193",3.279693E7,231.35
124939.0,"2025-09-08 08:25:30.414",3.2797883E7,675.71
124902.0,"2025-09-08 10:11:54.344",3.2798877E7,266.46
124362.0,"2025-09-08 11:42:59.146",3.2806384E7,289.34
124762.0,"2025-09-08 12:08:35.119",3.2806712E7,61.78
124044.0,"2025-09-08 12:46:24.607",3.2807234E7,484.12
124107.0,"2025-09-08 14:17:05.023",3.2809774E7,553.15
124436.0,"2025-09-08 15:30:59.813",3.2810544E7,69.71
124107.0,"2025-09-08 16:38:02.662",3.2812335E7,29.05
124242.0,"2025-09-08 17:03:53.373",3.2812292E7,225.49
124242.0,"2025-09-08 17:05:41.167",3.2812259E7,824.49
124044.0,"2025-09-08 18:49:00.970",3.2813631E7,530.7
124939.0,"2025-09-08 19:37:42.783",3.2814896E7,717.95
124902.0,"2025-09-08 20:20:31.909",3.2819899E7,320.8
124362.0,"2025-09-08 20:37:54.007",3.2820354E7,408.57
124362.0,"2025-09-08 20:45:35.995",3.2820495E7,279.07
124107.0,"2025-09-08 20:54:45.979",3.2821202E7,629.42
124184.0,"2025-09-08 21:14:19.342",3.2821373E7,48.25
124362.0,"2025-09-08 21:55:55.632",3.2821718E7,771.5
124362.0,"2025-09-08 22:12:30.745",3.2821463E7,129.72
124732.0,"2025-09-08 22:58:55.314",3.2822626E7,448.44
124362.0,"2025-09-09 01:41:24.505",3.2824298E7,450.89
123990.0,"2025-09-09 01:58:14.050",3.2824477E7,809.48
123874.0,"2025-09-09 03:42:55.307",3.2825807E7,902.43
123874.0,"2025-09-09 03:42:58.558",3.2826067E7,143.22
124362.0,"2025-09-09 07:13:22.844",3.2829273E7,5.73
124902.0,"2025-09-09 08:19:42.119",3.2831176E7,792.33
124362.0,"2025-09-09 09:42:23.915",3.2832362E7,883.51
